"Venue Name","Venue type","Address","Latitude","Longitude"
"Nudgee Resource Recovery Centre","General Council venue","1402 Nudgee Road, Nudgee",-27.361304,153.100788
"Nudgee Waterhole Reserve","Park","186 Nudgee Rd, Nudgee",-27.374125,153.093633
"Nundah Cemetery","General Council venue","88 Hedley Avenue, Nundah",-27.407781,153.066946
"Nundah Library","Library","1 Bage Street, Nundah",-27.401221,153.058419
"Nundah Memorial Park","Park","133 Buckland Rd, Nundah",-27.402949,153.059131
"Nundah Neighbourhood Centre","Community Garden,Non-Council venue","14 Station Street, Nundah",-27.401534,153.060514
"Oakleigh Park","Park","67 Victoria Street, Ashgrove 4060",-27.434027,152.98581
"Oakman Park","Park","77 Moggill Rd, Taringa",-27.489141,152.985487
"Oakmont Avenue Park","Park","10 Merion Close, Oxley",-27.572766,152.985252
"Observatory Park","Park","230 Wickham Terrace, Spring Hill",-27.466035,153.023106
"O'Callaghan Park","Park","300 Zillmere Road, Zillmere",-27.362659,153.043388
"Old Cleveland Road Park (no.52)","Park","Bedivere St, Carindale",-27.499063,153.105625
"Old Inala Hall","Community Hall","209 Lavender Street, Inala",-27.590044,152.976456
"Olivia Drive Park","Park","41 Olivia Drive, Carina Heights",-27.51597,153.095651
"Olroy Street Park (road reserve)","Park","5 Olroy Street, Holland Park",-27.520875,153.069811
"O'Reilly Street Park","Park","10 O'Reilly Street, Wakerley",-27.47772,153.154182
"Oriel Park","Park","127 Reeve Street, Ascot",-27.429287,153.05768
"Orient Road Park","Park","193 Hyde Road, Yeronga",-27.508097,153.010214
"Orleigh Park","Park","68 Hill End Terrace, West End",-27.489371,152.998014
"Orsova Road Park","Park","26 Orsova Road, Yeronga",-27.509045,153.005885
"Orsova Road Pocket Park (road reserve)","Park","391 Brisbane Corso, Yeronga",-27.50621,153.005342
"Oswin Street Park","Park","72 Oswin Street, Acacia Ridge",-27.584661,153.028337
"Osypa Park","Park","26 Kathmaur Avenue, Ellen Grove",-27.610898,152.937512
"Oxenham Park","Park","134 Melton Road, Nundah",-27.40129,153.063653
"Oxford Grove Park","Park","247 Dawson Pde, Keperra",-27.39875,152.962701
"Oxford Parade Park ( no. 83)","Park","83 Oxford Parade, Forest Lake",-27.624936,152.973261
"Oxley Place Park","Park","1218 Oxley Road, Oxley",-27.564752,152.979758
"Pacific Parade Park","Park","Carolina Pde, Forest Lake",-27.622161,152.978571
"Pallara Park","Park","380 Gooderham Rd, Pallara",-27.623154,152.997518
"Palm Street Park","Park","40 Fallbrook Street, Kenmore",-27.515138,152.933179
"Palmwoods Crescent Park","Park","21 Palmwoods Crescent, Runcorn",-27.596503,153.084828
"Pamaroo Crescent","Park","3 Chipala Street, Jindalee",-27.534987,152.932221
"Pangela Street Park","Park","25 Pangela Street, The Gap",-27.441018,152.945381
"Panorama Place Park","Park","373 Nursery Road, Mt Gravatt East",-27.52795,153.079354
"Paradise Street Community Garden","Community Garden,Non-Council venue","29 Paradise Street, Highgate Hill",-27.488609,153.012771
"Paragon Street Park","Park","53A Paragon Street, Yeronga",-27.521852,153.010874
"Pardalote Park","Park","24 Woodland Street, Algester 4115",-27.607135,153.040806
"Park Avenue Park","Park","15 Park Avenue, Ashgrove 4060",-27.441829,153.001757
"Parkinson Aquatic Centre","Swimming pool","751 Algester Road, Parkinson",-27.639065,153.038619
"Parkinson Bushlands","Park","Johnson Road, Parkinson",-27.650263,153.027313
"Parkinson Environmental Corridor","Park","30 Greenways Esplanade, Parkinson",-27.637202,153.020901
"Parkinson Recreational Reserve","Park","30 Greenways Esplanade, Parkinson",-27.637202,153.020901
"Parkland Street Park","Park","25 Orania Crescent, Calamvale 4116",-27.621527,153.054466
"Parkside Crescent Park","Park","17 Parkside Crescent, The Gap",-27.455184,152.936924
"Parkwood Sports Field","Park","140 Parkwood Drive, Heathwood",-27.637162,152.986781
"Pask Family Park","Park","12 Ascent Street, Rochedale",-27.573955,153.115944
"Pat Rafter Park","Park","Medallion Pl, Carseldine",-27.34162,153.009133
"Paten Park","Park","45 Paten Rd, The Gap",-27.452111,152.952197
"Paterson Park","Park","28 Lynelle Street, Sunnybank Hills",-27.603023,153.0524
"Patonga Street Park","Park","25 Patonga Street, Banyo",-27.378393,153.084971
"Patrea Street Park","Park","1004 Nudgee Road, Banyo",-27.38406,153.089181
"Pattison Avenue Park","Park","34 Pattison Avenue, Norman Park",-27.480697,153.066746
"Paul Conti Park","Park","39 Ragnor Road, Hemmant",-27.450821,153.127743
"Peace Park","Park","83 Baskerville Street, Brighton",-27.310333,153.056885
"Peachtree Place Park","Park","38 Peachtree Place, Stretton",-27.629874,153.064385
"Peden Court Park","Park","Peden Ct, Calamvale",-27.618404,153.047328
"Pegg's Park","Park","Koala Road (near Kine St), Moorooka",-27.532292,153.030896
"Penson Street Park","Park","12 Cleveland Place, Stretton",-27.618877,153.069837
"Peppercorn Street Park","Park","68 Peppercorn Street, Sunnybank Hills",-27.605002,153.057837
"Perrin Park","Park","56 Josling Street, Toowong",-27.491693,152.992083
"Perry Park","Park","Folkestone St, Bowen Hills",-27.443528,153.040005
"Perth Street Park","Park","74 Perth Street, Camp Hill",-27.486101,153.075632
"Peter Gaskell Park","Park","9 Maple Close, Bracken Ridge 4017",-27.32548,153.045825
"Peter Lightfoot Oval","Park","141 Horizon Drive, Middle Park",-27.551886,152.920519
"Pfingst Road Park","Park","53 Pfingst Road, Wavell Heights",-27.398405,153.043207
"Phil Denman Park","Park","48 Loffs Road, Jamboree Heights 4074",-27.552645,152.93037
"Phillip Vaughan Park","Park","55 Nemira Street, Carseldine",-27.359248,153.008238
"Phillips Place Park (Wakerley)","Park","11 Phillips Pl, Wakerley",-27.484986,153.145395
"Picot Street Park","Park","72 Picot Street, Kelvin Grove",-27.442598,153.011337
"Pimelea Reserve","Park","54 Townsend Street, Brighton",-27.297903,153.058075
"Pindari Crescent Park","Park","25 Pindari Crescent, Wishart",-27.558327,153.098135
"Pinkenba Memorial Place Park (road reserve)","Park","13 McBride Road, Pinkenba",-27.423552,153.118888
"Pinkenba Recreation Reserve","Park","339 Main Myrtletown Road, Pinkenba",-27.416573,153.126157
"Pinnacle Place Park","Park","15 Burstall Avenue, Belmont",-27.484166,153.125158
"Pinnaroo Cemetery and Crematorium, Bridgeman Downs","General Council venue","294 Graham Road, Bridgeman Downs",-27.352426,152.992141
"Pinnibar Street Park","Park","22 Tawonga St, Hemmant",-27.457483,153.128675
"Pioneer Belz Park","Park","303 Centenary Highway, Jindalee",-27.530039,152.945418
"Pioneer Crescent Park","Park","33 Pioneer Cres, Bellbowrie",-27.561447,152.872158
"Plaisted Place Park","Park","70 Flower St, Northgate",-27.390937,153.060794
"Platypus Park","Park","18 Banksia Dr, Mt Crosby",-27.524118,152.818071
"Poinciana Park","Park","1 Longueval Street, Moorooka",-27.52465,153.024039
"Pomona Street Park","Park","20 Pomona Street, Brighton 4017",-27.291272,153.051118
"Pooh Corner","Park","100 Wolston Road, Wacol",-27.575386,152.928253
"Portadown Park (Sinnamon Park)","Park","30 Radcliffe Street, Sinnamon Park",-27.54735,152.945195
"Porter's Paddock Park","Park","157 Stanton Rd, Tingalpa",-27.480506,153.112789
"Post Office Square","Park","270 Queen Street, Brisbane City",-27.467284,153.027396
"Powerhouse Park","Park","130 Lamington St, New Farm",-27.467785,153.054169
"Praed Street Park","Park","38 Murray Street, Red Hill",-27.445663,153.003719
"Prentice Park","Park","51 Swinburne Street, Lutwyche",-27.421678,153.031651
"Presidential Park","Park","5 Coolidge Ct, Stretton",-27.613451,153.071902
"Preston Road Park","Park","25 Preston Road, Carina",-27.490118,153.117293
"Primrose Park","Park","2280 Wynnum Rd, Wynnum West",-27.441677,153.157716
"Princess Street Park (nos. 8-18)","Park","57 Prince Street, Brighton",-27.295536,153.060949
"Princess Street Park (Nos.5-21)","Park","15 Brisbane Corso, Fairfield",-27.501216,153.023615
"Princeton Place Park","Park","Princeton Pl, Forest Lake",-27.626453,152.974458
"Private Andrew Clark Memorial Park (road reserve)","Park","73 Andrew Avenue, Tarragindi",-27.526687,153.040262
"Progress Park","Park","8 Paterson Pde, Northgate",-27.390747,153.078394
"Prospect Terrace Park","Park","57 Prospect Terrace, Kelvin Grove",-27.451535,153.010682
"Purtell Park","Park","57 Carwoola Street, Bardon 4065",-27.464415,152.97362
"Quandong Park","Park","68 Quandong Street, Ashgrove 4060",-27.436776,152.999356
"Quarry Park","Park","39 Quarry Road, Alderley 4051",-27.425151,152.997634
"Queen Street Mall","General Council venue","Queen Street, Brisbane",-27.469691,153.025254
"Queensland Maritime Museum Park","Park","412 Stanley Street, South Brisbane",-27.481947,153.026545
"Queensland Performing Arts Centre (QPAC)","Non-Council venue","74 Melbourne Street, South Brisbane",-27.474427,153.017629
"Quinn Park","Park","560 Milton Road, Toowong",-27.478985,152.987615
"Quinn's Street Park","Park","216 Thynne Road, Balmoral",-27.45844,153.071149
"Raeburn Street Park","Park","36 Curtis Street, Manly",-27.459122,153.178974
"Raeside Street Park","Park","41A Raeside Street, Westlake",-27.549594,152.91222
"Railton Street Park","Park","114A Albany Creek Road, Aspley 4034",-27.365165,153.010153
"Rainbow Forest Park","Park","48 Dobell Street, Indooroopilly",-27.516195,152.959219
"Rainbow Lorikeet Park","Park","Croker St, Aspley",-27.369303,153.032914
"Rainworth Park","Park","67 Main Ave, Bardon",-27.467239,152.983099
"Rasey Park","Park","95 Butterfield Street, Herston",-27.444005,153.023453
"Raven Street Reserve","Park","815 Rode Road, Chemside West",-27.386755,153.004839
"Ray Lynch Park","Park","90 Halsey Street, Holland Park",-27.523282,153.072582
"Ray Street Park","Park","30 Ray St, Carseldine",-27.587717,152.965513
"Raymond Park","Park","Rawlins Streets, Kangaroo Point",-27.48,153.038348
"Real Park","Park","Heath St, East Brisbane",-27.480966,153.048828
"Rebecca Street Park","Park","Boblynne St, Chapel Hill",-27.501209,152.947902
"Reddacliff Place","General Council venue","266 George Street, Brisbane",-27.471147,153.022948
"Redway Street Park","Park","36 Redway Street, Nudgee",-27.373274,153.086529
"Regatta Park","Park","566 Coronation Drive, Toowong 4066",-27.482331,152.996915
"Regency Place Park (No.16)","Park","16 Regency Pl, Stretton",-27.615965,153.075142
"Regent Park","Park","805 Wynnum Road, Cannon Hill",-27.468216,153.080826
"Regents Circuit Park","Park","Centennial Way, Forest Lake",-27.629674,152.95764
"Rembrandt Street Park","Park","1710 Creek Road, Carina 4152",-27.478226,153.093674
"Remick Street Park","Park","Remick Street, Stafford Heights",-27.392738,153.004588
"Riaweena Street Park","Park","26 Illowra Street, The Gap",-27.447274,152.943573
"Richlands Depot Park","Park","Government Rd, Inala",-27.600535,152.958242
"Rikki Bailey Park","Park","224 Englefield Rd, Oxley",-27.561942,152.966531
"Rilatt Park","Park","Rilatt St, Wavell Heights",-27.391529,153.047697
"Riverstage","General Council venue","59 Gardens Point Road, Brisbane",-27.478821,153.030115
"Riverston Court Park (road reserve)","Park","1 Riverston Court, Carindale",-27.513796,153.10118
"Robert Mitchell Park","Park","21 Neath St, Sunnybank Hills",-27.584385,153.042042
"Robertson Park","Park","29 Indooroopilly Road, Taringa",-27.502566,152.98874
"Robinson Park (Fairfield)","Park","221 Fairfield Road, Fairfield",-27.508643,153.023529
"Robinson Park (Tingalpa)","Park","449 Wondall Road, Tingalpa",-27.469598,153.148761
"Robtrish Street Park","Park","31 Robtrish Street, Manly West",-27.4674,153.16619
"Rochedale Community Garden","Community Garden","160 Rochedale Road, Rochedale",-27.558428,153.129355
"Rocks Riverside Park","Community Garden,Park","5 Counihan Road, Seventeen Mile Rocks",-27.542908,152.960895
"Roghan Road Park","Park","Roghan Road, Fitzgibbon",-27.333383,152.994782
"Roma Street Parkland","Park","1 Parkland Boulevard, Brisbane City",-27.465951,153.022627
"Ron Ward Park","Park","8 Tingward Street, The Gap",-27.432093,152.941955
"Rory Street Park","Park","4 Rory Street, Richlands",-27.587717,152.965513
"Roscrea Street Park","Park","27 Roscrea Street, Tingalpa",-27.480899,153.133523
"Rosebank Square","Park","64 Rosebank Sq, Salisbury",-27.555514,153.043122
"Rosemount Park","Park","27 Drummond St, Sinnamon Park",-27.548134,152.949603
"Roseneath Drive Park","Park","133 Greenways Esplanade, Parkinson",-27.638042,153.027058
"Ross Park","Park","994 Sandgate Rd, Nundah",-27.409523,153.058555
"Ross Street Park","Park","62 Ross Street, Newstead",-27.44135,153.043602
"Rotary International Presidents Park","Park","37 Keith St, St Lucia",-27.491911,153.010767
"Rotary Park","Park","Graham Road, Aspley",-27.490276,153.042777
"Rowena Street Park (no. 36)","Park","42 Rowena Street, Kenmore",-27.518049,152.92651
"Rowlinson Park","Park","14 Nelson Street, Yeronga",-27.5199,153.013979
"Roxwell Street Park","Park","Taylor Pl, Forest Lake",-27.623923,152.946874
"Roy Harvey Park","Park","34 Byth St, Stafford",-27.410594,153.006231
"Royal Parade Park","Park","Royal Parade, Ashgrove",-27.445766,152.967028
"RQYS Port Centre Park","Park","578 Royal Esplanade, Manly",-27.461319,153.190256
"Runcorn Pool","Swimming pool","37 Bonemill Road, Runcorn",-27.591584,153.075659
"Russ Hall Park","Park","323 Evans Road, Salisbury",-27.551909,153.035811
"Sabot Court Park","Park","10 Sabot Court, Manly West",-27.468807,153.162662
"Salisbury Community Garden","Community Garden,Non-Council venue","Lillian Avenue, Salisbury",-27.555668,153.038051
"Salisbury Recreation Reserve","Park","323 Evans Rd, Salisbury",-27.551207,153.035798
"Sanananda Street Park","Park","961 Centenary Highway, Darra",-27.572604,152.943439
"Sanctuary Drive Park","Park","62 Sanctuary Dr, Forest Lake",-27.635284,152.983338
"Sandbag Community Garden","Community Garden,Non-Council venue","153 Rainbow Street, Sandgate",-27.322175,153.073291
"Sandgate Aquatic Centre","Swimming pool","231 Flinders Parade, Sandgate",-27.3119846,153.066482
"Sandgate Foreshores Park","Park","Flinders Pde, Sandgate",-27.292762,153.064697
"Sandgate Library","Library","1 Seymour St, Sandgate",-27.320652,153.070423
"Sandgate Memorial Park","Park","8 Seymour Street, Sandgate",-27.32063,153.069792
"Sandgate Second Lagoon Reserve","Park","122 Brighton Road, Sandgate",-27.319049,153.063579
"Sandgate Third Lagoon Reserve","Park","174 Baskerville St, Brighton",-27.309488,153.044486
"Sandgate Town Hall","Community Hall","5 Brighton Road, Sandgate",-27.320124,153.069769
"Sandy Creek Park","Park","27 Lana Street, Tarragindi",-27.527576,153.041609
"Sapsford Street Park","Park","21 Sapsford Street, Northgate",-27.3934,153.064779
"Satellite Street Park","Park","5 Crucis Street, Coorparoo 4151",-27.505673,153.069534
"Scarlet Place Park","Park","36 Scarlet Place, Forest Lake",-27.611617,152.971572
"Sceptre Row Park","Park","148 Empress Tce, Bardon 4065",-27.454161,152.986679
"Schooner Circuit Park","Park","110 Schooner Circuit, Manly West",-27.470431,153.160296
"Scurr Park","Park","1090 Cavendish Road, Mt Gravatt East",-27.526371,153.089333
"Seabrook Circuit Park","Park","40 Seabrook Circuit, Westlake Qld 4074",-27.550118,152.914727
"Seafern Street Park","Park","23 Flintstone Street, Sunnybank Hills",-27.60648,153.061441
"Sedgemoor Street Park","Park","1 Woodward Street, Stafford Heights",-27.398748,153.005331
"Sedgley Park","Park","35 Alderson St, Alderley",-27.429161,153.006028
"Seils Park","Park","27 Toomba Avenue, Ashgrove 4060",-27.437501,152.9971
"Selkirk Crescent Park","Park","80 Selkirk Cres, Upr Kedron",-27.408924,152.919394
"Settlers Park","Park","63 Glen Ross Rd, Sinnamon Park",-27.552605,152.941707
"Settlers Village Park","Park","100 Flinders Cres, Forest Lake",-27.616937,152.969991
"Seven Hills Bushland Reserve","Park","Latina Avenue, Seven Hills",-27.478848,153.084058
"Seville Park","Park","84 Seville Road, Holland Park",-27.521815,153.071423
"Shaftesbury Street Park","Park","59 Shaftesbury St, Tarragindi",-27.518818,153.041426
"Shand Street Park (no. 131)","Park","21 Picnic Street, Enoggera",-27.412682,152.997743
"Shand Street Park (No.100)","Park","Shand St, Stafford",-27.414832,153.003492
"Shaw Estate Park","Park","Shaw Rd, Wavell Heights",-27.401729,153.039364
"Shaw Park","Park","151 Shaw Road, Wavell Heights",-27.404686,153.048605
"Sheehy Street Park","Park","45 Shand Street, Stafford",-27.412586,153.006734
"Sheffield Place Park","Park","20 Aberdeen Crescent, Kuraby",-27.609254,153.090394
"She-Oak Park","Park","25 Peachdale St, Tingalpa",-27.485307,153.128169
"Sheoak Street Park","Park","11 Sheoak Street, Middle Park",-27.556765,152.924657
"Shepherd Place Park","Park","5 Signal Row, Shorncliffe",-27.322709,153.081058
"Sherwood Arboretum","Park","57 Dewar Terrace, Sherwood",-27.531295,152.973569
"Sherwood Neighbourhood Centre","Non-Council venue","38 Thallon Street, Sherwood",-27.533953,152.980302
"Sherwood Room, Brisbane City Hall","General Council venue","64 Adelaide Street, Brisbane",-27.469108,153.024058
"Shillington Place Park","Park","590A Mt Gravatt-Capalaba Road, Wishart",-27.548166,153.107547
"Shirley Sester Park","Park","19 Silkyoak Street, Runcorn",-27.603871,153.077843
"Shorncliffe Canoe Ramp","General Council venue","74 Curlew Street, Sandgate",-27.325853,153.073148
"Shorncliffe Downstream Boat Ramp","General Council venue","491 Jetty Street, Shorncliffe",-27.329659,153.086279
"Shorncliffe Upstream Boat Ramp","General Council venue","Yundah Street, Shorncliffe",-27.329841,153.084791
"Short Street Park","Park","715 Beaudesert Road, Rocklea",-27.556759,153.018737
"Showground Park","Park","61 Hayden St, Nudgee",-27.364936,153.08506
"Sid Loder Park","Park","28 Tel-el-Kebir Street, Mitchelton",-27.416859,152.97778
"Silkyoak Circuit Park","Park","62 Silkyoak Circuit, Fitzgibbon",-27.345978,153.031029
"Silvertop Street Park","Park","7 Coachwood Street, Keperra",-27.411434,152.954806
"Simpsons Playground","Park","90 Nadine Street, Graceville",-27.521876,152.990654
"Sinbad Street Boat Ramp","Park","7 Sinbad Street, Shorncliffe",-27.334087,153.081327
"Sir James Killen Reserve","Park","154 Stones Road, Sunnybank Hills",-27.587098,153.050933
"Sir John Chandler Park","Park","293B Meiers Road, Indooroopilly",-27.517543,152.993699
"Sir Manuel Hornibrook Park","Park","53A Vernon Terrace, Newstead",-27.452949,153.049459
"Sir Thomas Brisbane Planetarium","General Council venue","152 Mount Coot-tha Road, Mt Coot-tha",-27.475675,152.977059
"Sleaford Street Park","Park","16 Sleaford Street, Chapel Hill 4069",-27.488049,152.942217
"Soames Street Park","Park","Soames St, Everton Park",-27.391417,152.982348
"Solar Park","Park","Eclipse and Galaxy Streets, Bridgeman Downs",-27.370559,152.984659
"Solferino Place Park","Park","69 Bromwich Street, The Gap",-27.438754,152.936953
"Songbird Way Park","Park","26 Songbird Way, Taigum",-27.339153,153.046408
"South Bank Parklands","Park","Cnr Ernest Street, Stanley Street and Grey Street",-27.478099,153.022858
"South Brisbane Cemetery","General Council venue","185 Annerley Road, Dutton Park",-27.498016,153.027667
"South Brisbane Riverside Lands Park","Park","151A Jane St, West End",-27.474806,153.007148
"Southgate Avenue Park","Park","91 Southgate Avenue, Cannon Hill",-27.465755,153.09141
"Speilberg Street Park","Park","22 Speilberg Street, McDowall",-27.375441,152.987097
"Spencer Park","Park","53 Edmondstone St, Newmarket",-27.439137,153.010639
"Spring Hill Baths (Inner City)","Swimming pool","14 Torrington Street, Spring Hill",-27.459924,153.019088
"Springfield Crescent Park","Park","55 Bannockburn Cres, Parkinson",-27.632567,153.03185
"Springwater Place Park (no. 27)","Park","27 Springwater Place, Algester",-27.600767,153.038771
"St Achs Street Park","Park","66 St Achs Street, Nudgee",-27.367676,153.083514
"St Andrews Avenue Park","Park","6 St Andrews Ave, Forest Lake",-27.630088,152.96966
"St Helens Road Park (Nos.16-70)","Park","60 St Helens, Mitchelton",-27.401667,152.972981
"St James Street Park","Park","5 Queens Court, Forest Lake",-27.627249,152.956379
"St Johns Avenue Park (Nos.7-27)","Park","11 St Johns Avenue, Ashgrove",-27.444156,152.9741
"St John's Oxley Community Garden","Community Garden","18 California Road, Oxley",-27.559732,152.977252
"St Lucia Golf Links","General Council venue,Golf course","5 Carawa Street, St Lucia",-27.502195,152.991078
"St Lucia Playground Park","Park","119 Carmody Road, St Lucia",-27.497532,152.99884
"St Martin Court Park","Park","8 St Martin Court, Bald Hills",-27.303841,153.012828
"St Vincents Road Park","Park","562 St Vincents Road, Nudgee",-27.365233,153.091351
"Stanley Day Park","Park","103 Grand Street, Bald Hills",-27.321323,153.016086
"Stanley Park","Park","60 Albury Street, Deagon 4017",-27.32477,153.065723
"Stanley Richardson Place Park (road reserve)","Park","2 Day Road, Northgate",-27.392775,153.073886
"Stannard Road Park","Park","55 Stannard Rd, Manly West",-27.461028,153.169325
"Stanworth Road Park","Park","73 Stanworth Road, Boondall 4034",-27.35017,153.065492
"Stapylton Road Park","Park","140 Parkwood Drive, Heathwood",-27.647929,152.983928
"Stendell Street Park","Park","28 Caladium Street, Wakerley",-27.488249,153.146745
"Stewart Place Park","Park","8 Stewart Road, Ashgrove 4060",-27.44545,152.991792
"Stimpson Park","Park","904 Ipswich Road, Moorooka",-27.526323,153.022275
"Stones Corner Library","Library","280 Logan Rd, Greenslopes",-27.49842,153.043687
"Story Bridge","General Council venue","Bradfield Hwy Story Bridge SBND, Kangaroo Point",-27.46367,153.035713
"Strawberry Farm Park","Park","1643 Gympie Road, Carseldine 4034",-27.348304,153.013859
"Strawberry Fields Place","Park","11 McDermott Parade, Rochedale",-27.571497,153.113158
"Streisand Drive Park","Park","Streisand Dr, McDowall",-27.373676,152.981612
"Stretton Community Park","Park","22 Cleveland Place, Stretton",-27.617365,153.069017
"Stretton Recreation Reserve","Park","Illaweena St, Drewvale",-27.64184,153.069585
"Stretton Wetland Reserve","Park","942 Gowan Road, Stretton",-27.635513,153.06026
"Strickland Terrace Park","Park","11 Strickland Terrace, Sherwood",-27.52982,152.990233
"Stringybark Drive Park","Park","124 Horn Rd, Aspley",-27.372777,153.005705
"Studley Park","Park","Esdale St, Wavell Heights",-27.38999,153.043773
"Stumers Road Reserve","Park","770 Mt Crosby Rd, Mt Crosby",-27.536445,152.804064
"Success Street Park","Park","645 Beatty Road, Acacia Ridge",-27.585008,153.010435
"Summerglen Park","Park","14 Mapleleaf Street, Eight Mile Plains",-27.58983,153.089528
"Summit Street Park","Park","Summit St, Belmont",-27.48958,153.130273
"Sumners Road (no. 529)","Park","529 Sumners Road, Riverhills",-27.561324,152.897978
"Sunflower Crescent Park","Park","68 Honeysuckle Way, Calamvale 4116",-27.631437,153.053457
"Sunny Court Park","Park","301 Jackson Road, Sunnybank Hills",-27.593768,153.04452
"Sunnybank Hall","Community Hall","95 Lister Street, Sunnybank",-27.578737,153.059378
"Sunnybank Hills Library","Library","661 Compton Road, Sunnybank Hills",-27.610745,153.055135
"Sunnybank Uniting Community Garden","Community Garden","146 Hellawell Rd, Sunnybank Hills",-27.599183,153.054357
"SunPAC","General Council venue","470 McCullough Street, Sunnybank",-27.572482,153.073204
"Sunset Place Park","Park","19 Sunset Pl, Mcdowall",-27.381481,152.983688
"Surbiton Court Park","Park","114 Weekes Rd, Carindale",-27.503581,153.105307
"Sutling Street Park","Park","39 Sutling Street, Chapel Hill 4069",-27.510078,152.951301
"Svoboda Park","Park","1490 Beenleigh Rd, Kuraby",-27.60551,153.098035
"Sweetman Street Park","Park","18 Sweetman Street, Paddington",-27.459562,153.010905
"Swensons Road Nature Reserve","Park","135 Swensons Road, Mount Crosby",-27.516418,152.827805
"Symons Road Park","Park","11 Normandy Street, Sunnybank Hills",-27.5958,153.057222
"T. M. Burke Park","Park","64 Stewart Road, Ashgrove 4060",-27.442796,152.990116
"Taigum Place Park","Park","120 Lemke Road, Taigum",-27.336486,153.042711
"Talisker Place Park","Park","Talisker Pl, Parkinson",-27.639394,153.024858
"Tallowwood Place Park","Park","35 Tallowwood Pl, Bridgeman Downs",-27.36752,152.997027
"Talltrees Street Park","Park","17 Talltrees Street, Bracken Ridge 4017",-27.328788,153.04579
"Tantani Street Park","Park","63 Tantani Street, Manly West",-27.464172,153.161583
"Tarana Street Park","Park","Tarana St, Camp Hill",-27.495022,153.073483
"Taringa Parade Park","Park","1 Taringa Parade, Indooroopilly 4068",-27.49931,152.967231
"Taringa Playground Park","Park","29 Moorak St, Taringa",-27.491253,152.979647
"Tarragindi Recreation Reserve","Park","131 Shaftesbury Street, Tarragindi",-27.523374,153.040259
"Tarragon Place Park","Park","7 Thyme Close, Forest Lake",-27.610683,152.956394
"Taylor Bridge Reserve","Park","Wharf Street, Chelmer",-27.50731,152.972749
"Taylor Place Park","Park","53 Taylor Place, Mackenzie",-27.542279,153.119811
"Teasel Crescent Park","Park","45 Teasel Crescent, Forest Lake",-27.607513,152.971468
"Temple Street Park","Park","36 Temple Street, Coorparoo",-27.487899,153.056531
"Teneriffe Park","Park","33 Teneriffe Dr, Newstead",-27.457983,153.047145
"Tennessee Avenue Park","Park","37 Tennessee Avenue, Moorooka",-27.525552,153.031273
"Tennis Avenue Park","Park","35 Tennis Ave, Ashgrove",-27.44245,153.002308
"Tenth Avenue Park","Park","18 Tenth Avenue, Brighton 4017",-27.306375,153.064848
"Teralba Park","Park","Pullen Road, Everton Park",-27.405348,152.981586
"Terrace Street Park","Park","60 Sedgebrook Street, Spring Hill",-27.463866,153.022953
"The Avenue Park","Park","The Avenue, Sunnybank Hills",-27.600405,153.048011
"The Beirne Park","Park","77 Gerler Road, Hendra",-27.419195,153.068942
"The Common Park","Park","99 Cambridge St, East Brisbane 4169",-27.489889,153.050018
"The Emily Seebohm Aquatic Centre - Fitzgibbon","Swimming pool","523 Telegraph Road, Fitzgibbon",-27.332968,153.039797
"The Esplanade Park","Park","64 Trout Street, Ashgrove 4060",-27.448786,152.991837
"The Gap mobile library","Mobile library","23 Glen Affric Street, The Gap",-27.445979,152.953799
"The Inspiration Garden","Park","118 Blackwood Avenue, Morningside",-27.476516,153.081363
"The John Goss Reserve","Park","51 Kenna, Chermside West",-27.381491,153.012597
"The Johnson Flora Reserve","Park","78 Lindfield Crct, Robertson",-27.565105,153.050258
"The Lake Parklands","Park","6 Freshwater Circuit, Forest Lake",-27.621668,152.960461
"The Pocket Community Garden","Park","21 Preston Street, Woolloongabba",-27.495587,153.047335
"The Pocket Community Garden (road reserve)","Community Garden","97 Preston Street, Woollongabba",-27.495442,153.047377
"The Pullenvale Forest Park","Park","386 Pullenvale Road, Pullenvale",-27.521377,152.889816
"The Rafting Ground Park","Park","2328 Moggill Road, Brookfield",-27.519611,152.926282
"The T.C. Beirne Park","Park","77 Gerler Road, Hendra",-27.418607,153.068443
"The Village Avenue Park","Park","Appleyard Cres, Coopers Plains",-27.56912,153.042677
"The Windsor Town Quarry Park","Park","356 Lutwyche Road, Windsor",-27.428532,153.032187
"The Woods Memorial Playground Park","Park","120 Royal Parade, Ashgrove",-27.447286,152.971061
"Thistle Street Park (No.74)","Park","74 Thistle St, Gordon Park",-27.420545,153.03099
"Thomas Gray Park","Park","36 Sanicle Street, Bald Hills 4036",-27.307422,153.015298
"Thomas Macleod Park","Park","40 Sinnamon Road, Sinnamon Park",-27.534015,152.951399
"Thomas Place Park","Park","151A Ancaster Road, Upper Kedron",-27.410663,152.915605
"Thompson Estate Reserve","Park","Pine Street, Greenslopes",-27.506277,153.042652
"Thornycroft Street Park","Park","333 Toohey Rd, Tarragindi",-27.532685,153.043457
"Thredbo Place Park","Park","10 Thredbo Close, Belmont 4153",-27.488321,153.132973
"Thrush Street Park","Park","Inala Ave, Inala",-27.599572,152.97779
"Thurston Street Park","Park","45 Thurston Street, Tingalpa",-27.482961,153.131241
"Thynne Road Park","Park","580 Wynnum Road, Morningside",-27.469109,153.070277
"Tigris Street Park","Park","22 Tigris Street Park, Riverhills",-27.558136,152.909115
